,success,method,level,heuristic,cost,exploredNodes,frontierNodes,runtime
190,True,bfs,level3.txt,combined,10,136,43,0.0010004043579101562
191,True,bfs,level3.txt,combined,10,136,43,0.0009999275207519531
192,True,bfs,level3.txt,combined,10,136,43,0.0010004043579101562
193,True,bfs,level3.txt,combined,10,136,43,0.0020003318786621094
194,True,bfs,level3.txt,combined,10,136,43,0.0010004043579101562
195,True,bfs,level3.txt,combined,10,136,43,0.0
196,True,bfs,level3.txt,combined,10,136,43,0.0009996891021728516
197,True,bfs,level3.txt,combined,10,136,43,0.0010001659393310547
198,True,bfs,level3.txt,combined,10,136,43,0.0010013580322265625
199,True,bfs,level3.txt,combined,10,136,43,0.0009987354278564453
200,True,greedy,level3.txt,manhattan,10,30,8,0.0010001659393310547
201,True,greedy,level3.txt,manhattan,10,30,8,0.0
202,True,greedy,level3.txt,manhattan,10,30,8,0.0
203,True,greedy,level3.txt,manhattan,10,30,8,0.0009996891021728516
204,True,greedy,level3.txt,manhattan,10,30,8,0.0
205,True,greedy,level3.txt,manhattan,10,30,8,0.0009996891021728516
206,True,greedy,level3.txt,manhattan,10,30,8,0.0
207,True,greedy,level3.txt,manhattan,10,30,8,0.0
208,True,greedy,level3.txt,manhattan,10,30,8,0.0
209,True,greedy,level3.txt,manhattan,10,30,8,0.0
210,True,greedy,level3.txt,combined,10,30,8,0.0009996891021728516
211,True,greedy,level3.txt,combined,10,30,8,0.0010001659393310547
212,True,greedy,level3.txt,combined,10,30,8,0.0
213,True,greedy,level3.txt,combined,10,30,8,0.0
214,True,greedy,level3.txt,combined,10,30,8,0.00099945068359375
215,True,greedy,level3.txt,combined,10,30,8,0.0009999275207519531
216,True,greedy,level3.txt,combined,10,30,8,0.0
217,True,greedy,level3.txt,combined,10,30,8,0.0
218,True,greedy,level3.txt,combined,10,30,8,0.00099945068359375
219,True,greedy,level3.txt,combined,10,30,8,0.0010001659393310547
220,True,astar,level3.txt,manhattan,10,77,21,0.0009996891021728516
221,True,astar,level3.txt,manhattan,10,77,21,0.0009999275207519531
222,True,astar,level3.txt,manhattan,10,77,21,0.0010001659393310547
223,True,astar,level3.txt,manhattan,10,77,21,0.0013976097106933594
224,True,astar,level3.txt,manhattan,10,77,21,0.0
225,True,astar,level3.txt,manhattan,10,77,21,0.0
226,True,astar,level3.txt,manhattan,10,77,21,0.0
227,True,astar,level3.txt,manhattan,10,77,21,0.0
228,True,astar,level3.txt,manhattan,10,77,21,0.0
229,True,astar,level3.txt,manhattan,10,77,21,0.006993770599365234
230,True,astar,level3.txt,combined,10,77,21,0.0010128021240234375
231,True,astar,level3.txt,combined,10,77,21,0.001996755599975586
232,True,astar,level3.txt,combined,10,77,21,0.0010004043579101562
233,True,astar,level3.txt,combined,10,77,21,0.0009996891021728516
234,True,astar,level3.txt,combined,10,77,21,0.001001119613647461
235,True,astar,level3.txt,combined,10,77,21,0.0009996891021728516
236,True,astar,level3.txt,combined,10,77,21,0.0010004043579101562
237,True,astar,level3.txt,combined,10,77,21,0.00099945068359375
238,True,astar,level3.txt,combined,10,77,21,0.0009999275207519531
239,True,astar,level3.txt,combined,10,77,21,0.0010001659393310547
240,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2331342697143555
241,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2689461708068848
242,True,dfs,level4.txt,manhattan,2912,106160,1409,1.3443264961242676
243,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2053487300872803
244,True,dfs,level4.txt,manhattan,2912,106160,1409,1.3452367782592773
245,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2300658226013184
246,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2053935527801514
247,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2610805034637451
248,True,dfs,level4.txt,manhattan,2912,106160,1409,1.3312129974365234
249,True,dfs,level4.txt,manhattan,2912,106160,1409,1.279700756072998
250,True,dfs,level4.txt,combined,2912,106160,1409,1.2193949222564697
251,True,dfs,level4.txt,combined,2912,106160,1409,1.2608282566070557
252,True,dfs,level4.txt,combined,2912,106160,1409,1.328284502029419
253,True,dfs,level4.txt,combined,2912,106160,1409,1.231518268585205
254,True,dfs,level4.txt,combined,2912,106160,1409,1.2658123970031738
255,True,dfs,level4.txt,combined,2912,106160,1409,1.3263046741485596
256,True,dfs,level4.txt,combined,2912,106160,1409,1.2084858417510986
257,True,dfs,level4.txt,combined,2912,106160,1409,1.346975564956665
258,True,dfs,level4.txt,combined,2912,106160,1409,1.1995956897735596
259,True,dfs,level4.txt,combined,2912,106160,1409,1.334498405456543
260,True,bfs,level4.txt,manhattan,60,112694,1732,1.4094932079315186
261,True,bfs,level4.txt,manhattan,60,112694,1732,1.424539566040039
262,True,bfs,level4.txt,manhattan,60,112694,1732,1.3416023254394531
263,True,bfs,level4.txt,manhattan,60,112694,1732,1.4659953117370605
264,True,bfs,level4.txt,manhattan,60,112694,1732,1.4166791439056396
265,True,bfs,level4.txt,manhattan,60,112694,1732,1.6428773403167725
266,True,bfs,level4.txt,manhattan,60,112694,1732,1.5356967449188232
267,True,bfs,level4.txt,manhattan,60,112694,1732,1.6042323112487793
268,True,bfs,level4.txt,manhattan,60,112694,1732,1.634113073348999
269,True,bfs,level4.txt,manhattan,60,112694,1732,2.5790324211120605
270,True,bfs,level4.txt,combined,60,112694,1732,2.20196795463562
271,True,bfs,level4.txt,combined,60,112694,1732,2.5253310203552246
272,True,bfs,level4.txt,combined,60,112694,1732,1.5220534801483154
273,True,bfs,level4.txt,combined,60,112694,1732,2.1491353511810303
274,True,bfs,level4.txt,combined,60,112694,1732,1.87459397315979
275,True,bfs,level4.txt,combined,60,112694,1732,1.5858685970306396
276,True,bfs,level4.txt,combined,60,112694,1732,1.5692238807678223
277,True,bfs,level4.txt,combined,60,112694,1732,2.3447887897491455
278,True,bfs,level4.txt,combined,60,112694,1732,1.797555923461914
279,True,bfs,level4.txt,combined,60,112694,1732,1.6730413436889648
280,True,greedy,level4.txt,manhattan,64,1071,138,0.010149955749511719
281,True,greedy,level4.txt,manhattan,64,1071,138,0.015631914138793945
282,True,greedy,level4.txt,manhattan,64,1071,138,0.015659809112548828
283,True,greedy,level4.txt,manhattan,64,1071,138,0.031248092651367188
284,True,greedy,level4.txt,manhattan,64,1071,138,0.015629053115844727
285,True,greedy,level4.txt,manhattan,64,1071,138,0.015620231628417969
286,True,greedy,level4.txt,manhattan,64,1071,138,0.015628576278686523
287,True,greedy,level4.txt,manhattan,64,1071,138,0.015586614608764648
288,True,greedy,level4.txt,manhattan,64,1071,138,0.03332638740539551
289,True,greedy,level4.txt,manhattan,64,1071,138,0.019031763076782227
290,True,greedy,level4.txt,combined,74,806,85,0.017967939376831055
291,True,greedy,level4.txt,combined,74,806,85,0.017638683319091797
292,True,greedy,level4.txt,combined,74,806,85,0.01800990104675293
293,True,greedy,level4.txt,combined,74,806,85,0.017994403839111328
294,True,greedy,level4.txt,combined,74,806,85,0.019001483917236328
295,True,greedy,level4.txt,combined,74,806,85,0.017998695373535156
296,True,greedy,level4.txt,combined,74,806,85,0.018005847930908203
297,True,greedy,level4.txt,combined,74,806,85,0.018007993698120117
298,True,greedy,level4.txt,combined,74,806,85,0.017986774444580078
299,True,greedy,level4.txt,combined,74,806,85,0.018004894256591797
300,True,astar,level4.txt,manhattan,60,96954,3356,32.01642203330994
301,True,astar,level4.txt,manhattan,60,96954,3356,33.60117244720459
302,True,astar,level4.txt,manhattan,60,96954,3356,32.632646799087524
303,True,astar,level4.txt,manhattan,60,96954,3356,33.188316106796265
304,True,astar,level4.txt,manhattan,60,96954,3356,34.272881507873535
305,True,astar,level4.txt,manhattan,60,96954,3356,35.00963091850281
306,True,astar,level4.txt,manhattan,60,96954,3356,32.96963834762573
307,True,astar,level4.txt,manhattan,60,96954,3356,30.112749814987183
308,True,astar,level4.txt,manhattan,60,96954,3356,35.43268322944641
309,True,astar,level4.txt,manhattan,60,96954,3356,33.49882411956787
310,True,astar,level4.txt,combined,60,86402,3884,26.744091987609863
311,True,astar,level4.txt,combined,60,86402,3884,30.26081347465515
312,True,astar,level4.txt,combined,60,86402,3884,28.463818311691284
313,True,astar,level4.txt,combined,60,86402,3884,29.357319355010986
314,True,astar,level4.txt,combined,60,86402,3884,28.019773721694946
315,True,astar,level4.txt,combined,60,86402,3884,25.685530185699463
316,True,astar,level4.txt,combined,60,86402,3884,26.570380210876465
317,True,astar,level4.txt,combined,60,86402,3884,27.194623231887817
318,True,astar,level4.txt,combined,60,86402,3884,30.2065749168396
319,True,astar,level4.txt,combined,60,86402,3884,40.39538073539734
320,False,dfs,level5.txt,manhattan,0,17,0,0.0009999275207519531
321,False,dfs,level5.txt,manhattan,0,17,0,0.0010004043579101562
322,False,dfs,level5.txt,manhattan,0,17,0,0.0
323,False,dfs,level5.txt,manhattan,0,17,0,0.0010089874267578125
324,False,dfs,level5.txt,manhattan,0,17,0,0.0009913444519042969
325,False,dfs,level5.txt,manhattan,0,17,0,0.0
326,False,dfs,level5.txt,manhattan,0,17,0,0.0
327,False,dfs,level5.txt,manhattan,0,17,0,0.001001596450805664
328,False,dfs,level5.txt,manhattan,0,17,0,0.0
329,False,dfs,level5.txt,manhattan,0,17,0,0.0010051727294921875
330,False,dfs,level5.txt,combined,0,17,0,0.0
331,False,dfs,level5.txt,combined,0,17,0,0.0
332,False,dfs,level5.txt,combined,0,17,0,0.0009970664978027344
333,False,dfs,level5.txt,combined,0,17,0,0.0
334,False,dfs,level5.txt,combined,0,17,0,0.0
335,False,dfs,level5.txt,combined,0,17,0,0.0009999275207519531
336,False,dfs,level5.txt,combined,0,17,0,0.0
337,False,dfs,level5.txt,combined,0,17,0,0.0009999275207519531
338,False,dfs,level5.txt,combined,0,17,0,0.0
339,False,dfs,level5.txt,combined,0,17,0,0.0
340,False,bfs,level5.txt,manhattan,0,17,0,0.0
341,False,bfs,level5.txt,manhattan,0,17,0,0.0010013580322265625
342,False,bfs,level5.txt,manhattan,0,17,0,0.0
343,False,bfs,level5.txt,manhattan,0,17,0,0.0
344,False,bfs,level5.txt,manhattan,0,17,0,0.0
345,False,bfs,level5.txt,manhattan,0,17,0,0.0
346,False,bfs,level5.txt,manhattan,0,17,0,0.001003265380859375
347,False,bfs,level5.txt,manhattan,0,17,0,0.0009965896606445312
348,False,bfs,level5.txt,manhattan,0,17,0,0.0
349,False,bfs,level5.txt,manhattan,0,17,0,0.0
350,False,bfs,level5.txt,combined,0,17,0,0.0
351,False,bfs,level5.txt,combined,0,17,0,0.0
352,False,bfs,level5.txt,combined,0,17,0,0.0
353,False,bfs,level5.txt,combined,0,17,0,0.000997304916381836
354,False,bfs,level5.txt,combined,0,17,0,0.0
355,False,bfs,level5.txt,combined,0,17,0,0.0
356,False,bfs,level5.txt,combined,0,17,0,0.0010004043579101562
357,False,bfs,level5.txt,combined,0,17,0,0.0
358,False,bfs,level5.txt,combined,0,17,0,0.0
359,False,bfs,level5.txt,combined,0,17,0,0.0
360,False,greedy,level5.txt,manhattan,0,17,0,0.0
361,False,greedy,level5.txt,manhattan,0,17,0,0.0
362,False,greedy,level5.txt,manhattan,0,17,0,0.00099945068359375
363,False,greedy,level5.txt,manhattan,0,17,0,0.0
364,False,greedy,level5.txt,manhattan,0,17,0,0.0
365,False,greedy,level5.txt,manhattan,0,17,0,0.0
366,False,greedy,level5.txt,manhattan,0,17,0,0.0010044574737548828
367,False,greedy,level5.txt,manhattan,0,17,0,0.000997781753540039
368,False,greedy,level5.txt,manhattan,0,17,0,0.0
369,False,greedy,level5.txt,manhattan,0,17,0,0.0
370,False,greedy,level5.txt,combined,0,17,0,0.0
371,False,greedy,level5.txt,combined,0,17,0,0.0009989738464355469
372,False,greedy,level5.txt,combined,0,17,0,0.0009975433349609375
373,False,greedy,level5.txt,combined,0,17,0,0.0010077953338623047
374,False,greedy,level5.txt,combined,0,17,0,0.0010006427764892578
375,False,greedy,level5.txt,combined,0,17,0,0.0
376,False,greedy,level5.txt,combined,0,17,0,0.0
377,False,greedy,level5.txt,combined,0,17,0,0.0
378,False,greedy,level5.txt,combined,0,17,0,0.00099945068359375
379,False,greedy,level5.txt,combined,0,17,0,0.0
380,False,astar,level5.txt,manhattan,0,17,0,0.0
381,False,astar,level5.txt,manhattan,0,17,0,0.0010001659393310547
382,False,astar,level5.txt,manhattan,0,17,0,0.0010018348693847656
383,False,astar,level5.txt,manhattan,0,17,0,0.0009984970092773438
384,False,astar,level5.txt,manhattan,0,17,0,0.0
385,False,astar,level5.txt,manhattan,0,17,0,0.0
386,False,astar,level5.txt,manhattan,0,17,0,0.0009992122650146484
387,False,astar,level5.txt,manhattan,0,17,0,0.0
388,False,astar,level5.txt,manhattan,0,17,0,0.0
389,False,astar,level5.txt,manhattan,0,17,0,0.0009980201721191406
390,False,astar,level5.txt,combined,0,17,0,0.001001119613647461
391,False,astar,level5.txt,combined,0,17,0,0.0
392,False,astar,level5.txt,combined,0,17,0,0.0
393,False,astar,level5.txt,combined,0,17,0,0.0010020732879638672
394,False,astar,level5.txt,combined,0,17,0,0.00099945068359375
395,False,astar,level5.txt,combined,0,17,0,0.0
396,False,astar,level5.txt,combined,0,17,0,0.0
397,False,astar,level5.txt,combined,0,17,0,0.0
398,False,astar,level5.txt,combined,0,17,0,0.001001119613647461
399,False,astar,level5.txt,combined,0,17,0,0.0
