generation,mean_performance,diversity,selection_method,end_condition
44,29.73044292567502,0.3538671137189327,roulette,max_generations
45,29.42457275221727,0.32774402327665625,roulette,max_generations
46,29.635877920745937,0.3553994504188034,roulette,max_generations
47,29.72100715546807,0.3601568747769739,roulette,max_generations
48,29.850670051348697,0.34917155017632867,roulette,max_generations
49,30.152963645658918,0.35271508585942835,roulette,max_generations
50,29.967747906405943,0.34195433472113396,roulette,max_generations
51,30.013925619474797,0.33636887074437577,roulette,max_generations
52,29.83108950235318,0.31326325841694397,roulette,max_generations
53,29.81731354819793,0.31330960723624285,roulette,max_generations
54,29.622404876366144,0.30693122892636704,roulette,max_generations
55,29.726005926802486,0.3121734739063983,roulette,max_generations
56,29.73993897104734,0.30772483606508944,roulette,max_generations
57,29.74830461273895,0.3332082412818255,roulette,max_generations
58,29.403504498092058,0.3173023417463271,roulette,max_generations
59,29.59835491382698,0.3024107081894966,roulette,max_generations
60,29.833211971912093,0.27410001398644845,roulette,max_generations
61,29.930833804630534,0.25412467836277314,roulette,max_generations
62,29.615081885717007,0.20133343895968714,roulette,max_generations
63,29.8513834412503,0.22889133493143,roulette,max_generations
64,30.2120433915827,0.21569717927768725,roulette,max_generations
65,30.671625130973393,0.20860558679667304,roulette,max_generations
66,30.360112475589617,0.2235049221029339,roulette,max_generations
67,30.357092488623483,0.21368175695763644,roulette,max_generations
68,30.026462252953724,0.21574622566896198,roulette,max_generations
69,29.775179854430103,0.19801917719225515,roulette,max_generations
70,29.628911886882715,0.2031834660436469,roulette,max_generations
71,29.762021074131898,0.19498459475300198,roulette,max_generations
72,29.83021037790515,0.19475016721685234,roulette,max_generations
73,29.299978615572584,0.19207332006839617,roulette,max_generations
74,28.935925291732083,0.19104420571591282,roulette,max_generations
75,29.332188122666576,0.19795772137123505,roulette,max_generations
76,29.85401889231513,0.21173137108211593,roulette,max_generations
77,29.92606989019842,0.22522380009303755,roulette,max_generations
78,29.994981091073978,0.2298532675690527,roulette,max_generations
79,29.86563532231201,0.2055144475093731,roulette,max_generations
80,29.74155683949287,0.20816500886684663,roulette,max_generations
81,29.758622691418545,0.2105125713242143,roulette,max_generations
82,29.882685380965075,0.201395540871162,roulette,max_generations
83,29.780826430331203,0.22688486418157608,roulette,max_generations
84,29.859668796910533,0.21079093867450927,roulette,max_generations
85,30.16622054331923,0.19553880498120746,roulette,max_generations
86,30.172863569865598,0.18122817405273584,roulette,max_generations
87,30.04973182160516,0.18481671501287747,roulette,max_generations
88,29.87230276644617,0.1798552914545686,roulette,max_generations
89,29.5820887308526,0.1615155132519883,roulette,max_generations
90,29.46024974740884,0.17216457479396996,roulette,max_generations
91,30.020560805542296,0.14715931797711226,roulette,max_generations
92,30.284524260405213,0.13946206067945646,roulette,max_generations
93,30.563102922657,0.13297791060228384,roulette,max_generations
94,30.644992541208918,0.14021691721291502,roulette,max_generations
95,30.49694746622164,0.1365420815608208,roulette,max_generations
96,30.647576046138685,0.13546208477834717,roulette,max_generations
97,30.911871478986555,0.15248087367225732,roulette,max_generations
98,30.636356036384072,0.16376368551411577,roulette,max_generations
99,30.799035010144948,0.15668711503065338,roulette,max_generations
100,30.911114414374154,0.1506387807716075,roulette,max_generations
101,30.742743585421085,0.15336331081501256,roulette,max_generations
102,30.40135541180543,0.15736081097711216,roulette,max_generations
103,30.382619190665068,0.156912750273839,roulette,max_generations
104,30.674799807291677,0.1487683082422172,roulette,max_generations
105,30.56625387445862,0.14734140782541244,roulette,max_generations
106,30.433074034980503,0.15409063817287885,roulette,max_generations
107,30.216135336544863,0.15962360370260623,roulette,max_generations
108,30.092466962273306,0.160090867927868,roulette,max_generations
109,29.95419836380132,0.153233991517046,roulette,max_generations
110,29.803281579706486,0.15909815248337447,roulette,max_generations
111,29.65794327944613,0.1534763096170971,roulette,max_generations
112,29.677303630220248,0.164049802693583,roulette,max_generations
113,29.444316748428317,0.15966679265187086,roulette,max_generations
114,29.622666792458546,0.15181151792821976,roulette,max_generations
115,29.865802104812584,0.147685356153499,roulette,max_generations
116,30.043893981255863,0.14286037243951857,roulette,max_generations
117,30.03627608974565,0.15357376112711607,roulette,max_generations
118,30.31632543941433,0.13778146099104202,roulette,max_generations
119,29.90729516557828,0.14053121492538748,roulette,max_generations
120,30.07956046826212,0.12871450079030125,roulette,max_generations
121,30.029173991494346,0.14559017652151426,roulette,max_generations
122,30.003908268521016,0.15042835125705165,roulette,max_generations
123,30.370744683626867,0.14858798569346607,roulette,max_generations
124,30.443599084708993,0.1405911003778465,roulette,max_generations
125,30.708370794022,0.1424036320275398,roulette,max_generations
126,30.798744582771963,0.1298707680263936,roulette,max_generations
127,30.76986414256206,0.12155097988887077,roulette,max_generations
128,30.487103131925938,0.13257700621400684,roulette,max_generations
129,30.49373332983055,0.12548190550726596,roulette,max_generations
130,30.54980665513549,0.13023955030309398,roulette,max_generations
131,30.097427739135927,0.13907264432617394,roulette,max_generations
132,30.14204615909125,0.1431478500106856,roulette,max_generations
133,29.803345362709912,0.15727313917793256,roulette,max_generations
134,29.823694892876837,0.17282195254316238,roulette,max_generations
135,29.706632606204426,0.17123876070896626,roulette,max_generations
136,30.262752749157013,0.1709396910954699,roulette,max_generations
137,29.959272396742712,0.17805011730318876,roulette,max_generations
138,29.942112872004913,0.17698007117175277,roulette,max_generations
139,30.02189340395221,0.172900951476498,roulette,max_generations
140,30.18215067366742,0.16919188730122547,roulette,max_generations
141,30.007552784706448,0.17346780639450884,roulette,max_generations
142,30.129685069229414,0.16887562444399462,roulette,max_generations
143,29.926856599546376,0.17238006272831763,roulette,max_generations
144,30.00895737215835,0.16358921493892983,roulette,max_generations
145,30.07364669608628,0.16141405717716717,roulette,max_generations
146,30.40218310760793,0.15669396606926972,roulette,max_generations
147,30.187362694628742,0.17547708366506665,roulette,max_generations
148,30.69358097215645,0.1599443965600342,roulette,max_generations
149,30.62260407654528,0.17572387023177125,roulette,max_generations
150,30.92230573773556,0.1755101664691666,roulette,max_generations
0,18.925482137728494,1.534518438125663,probabilistic_tournament,max_generations
1,20.269497593091536,1.4878294988375949,probabilistic_tournament,max_generations
2,21.402773389004643,1.46385556691099,probabilistic_tournament,max_generations
3,21.73054879695582,1.2676234971236433,probabilistic_tournament,max_generations
4,22.14952755432315,1.1673610053438874,probabilistic_tournament,max_generations
5,22.606402501770553,1.0990832858417854,probabilistic_tournament,max_generations
6,23.153454816630713,1.1353479566401494,probabilistic_tournament,max_generations
7,23.872325285527808,1.075979405534919,probabilistic_tournament,max_generations
8,24.87200225146111,1.0651576689937838,probabilistic_tournament,max_generations
